citycode;population;PCT_working_high;Student_per1000;women_per_100;Median_population_age;household_size;pct_unemployment;households_1_person;car_1000;car_killed_1000;pct_nationals;birth_1000;cities_name
DE057C;69399.0;20.0;0.0;106.2;46.8;2.0;5.0;44.0;502.44;0.43;94.0;9.0;Celle
DE058C;70858.0;32.0;48.0;105.2;44.7;2.0;4.0;43.0;496.75;0.28;83.0;10.0;Aschaffenburg
DE059C;76674.0;37.0;159.0;106.9;40.2;2.0;3.0;54.0;429.58;0.26;85.0;10.0;Bamberg
DE060C;64014.0;21.0;0.0;105.3;49.9;2.0;5.0;47.0;478.58;0.15;98.0;9.0;Plauen
DE061C;63372.0;25.0;35.0;107.2;48.6;2.0;7.0;47.0;435.25;0.16;99.0;9.0;Neubrandenburg
DE062C;67980.0;25.0;137.0;103.6;42.5;2.0;4.0;38.0;468.25;0.15;83.0;11.0;Fulda
DE063C;68940.0;32.0;77.0;101.9;43.7;2.0;3.0;44.0;477.82;0.0;83.0;10.0;Kempten (Allgäu)
DE064C;73065.0;36.0;62.0;104.8;43.3;2.0;4.0;47.0;451.84;0.27;80.0;10.0;Landshut
DE065C;64595.0;36.0;34.0;100.9;43.5;2.0;4.0;40.0;497.43;0.15;75.0;11.0;Sindelfingen
DE066C;63591.0;32.0;86.0;102.0;42.5;2.0;4.0;49.0;464.67;0.31;78.0;11.0;Rosenheim
DE067C;48750.0;32.0;34.0;105.3;45.9;2.0;6.0;61.0;496.0;0.0;82.0;10.0;Frankenthal (Pfalz)
DE068C;59205.0;26.0;40.0;105.2;47.8;2.0;7.0;52.0;400.35;0.17;99.0;9.0;Stralsund
DE069C;61221.0;42.0;36.0;101.4;44.9;2.0;3.0;40.0;513.6;0.16;81.0;11.0;Friedrichshafen
DE070C;60388.0;30.0;69.0;103.7;45.0;2.0;4.0;45.0;37.62;0.17;86.0;10.0;Offenburg
DE071C;55784.0;28.0;26.0;106.9;50.0;2.0;8.0;60.0;405.27;0.18;96.0;9.0;Görlitz
DE072C;55590.0;32.0;114.0;105.2;46.1;2.0;4.0;37.0;526.21;0.72;89.0;9.0;Sankt Augustin
DE073C;58841.0;34.0;70.0;103.2;42.4;2.0;3.0;39.0;488.39;0.17;90.0;12.0;Neu-Ulm
DE074C;53319.0;27.0;60.0;103.6;44.9;2.0;5.0;41.0;440.72;0.37;81.0;10.0;Schweinfurt
DE075C;59282.0;21.0;175.0;109.6;39.2;2.0;5.0;55.0;373.33;0.34;98.0;10.0;Greifswald
DE076C;53188.0;36.0;34.0;106.3;45.6;2.0;7.0;38.0;520.42;0.38;83.0;10.0;Wetzlar
DE077C;50741.0;40.0;6.0;105.6;47.6;2.0;5.0;35.0;507.78;0.0;85.0;9.0;Speyer
DE078C;52415.0;35.0;226.0;105.7;41.4;2.0;4.0;55.0;447.97;0.0;83.0;8.0;Passau
DE079C;79354.0;26.0;21.0;106.0;53.8;2.0;5.0;59.0;479.96;0.25;94.0;7.0;Dessau-Roßlau
DE080C;495885.0;18.0;34.0;102.2;44.2;2.0;7.0;46.0;427.26;0.12;79.0;10.0;Duisburg
DE081C;309721.0;36.0;91.0;100.8;40.8;2.0;6.0;52.0;399.59;0.26;76.0;10.0;Mannheim
DE082C;259105.0;17.0;22.0;101.2;44.7;2.0;9.0;48.0;431.18;0.19;79.0;11.0;Gelsenkirchen
DE083C;316403.0;45.0;197.0;108.1;38.4;2.0;3.0;51.0;391.94;0.03;89.0;10.0;Münster
DE084C;244401.0;34.0;40.0;102.1;48.2;2.0;5.0;48.0;442.44;0.12;91.0;8.0;Chemnitz
DE085C;248561.0;43.0;75.0;101.7;43.0;2.0;4.0;54.0;439.28;0.2;89.0;10.0;Braunschweig
DE086C;248878.0;41.0;247.0;91.5;37.2;2.0;5.0;58.0;384.81;0.12;81.0;9.0;Aachen
DE087C;226844.0;28.0;24.0;104.9;46.5;2.0;7.0;47.0;468.58;0.09;83.0;9.0;Krefeld
DE088C;209566.0;20.0;0.0;103.8;46.7;2.0;7.0;43.0;489.91;0.05;85.0;9.0;Oberhausen
DE089C;215846.0;24.0;64.0;108.3;46.4;2.0;5.0;52.0;406.91;0.05;89.0;8.0;Lübeck
DE090C;188687.0;22.0;19.0;104.6;46.3;2.0;7.0;43.0;478.05;0.11;81.0;11.0;Hagen
DE091C;201048.0;35.0;161.0;103.3;41.0;2.0;6.0;52.0;382.77;0.05;81.0;10.0;Kassel
DE092C;178967.0;19.0;21.0;103.2;44.7;2.0;6.0;35.0;499.66;0.17;84.0;9.0;Hamm
DE093C;156940.0;24.0;1.0;103.7;46.2;2.0;7.0;44.0;461.14;0.06;82.0;9.0;Herne
DE094C;159193.0;21.0;0.0;106.0;46.6;2.0;5.0;43.0;515.96;0.19;83.0;10.0;Solingen
DE095C;164223.0;36.0;152.0;106.6;39.9;2.0;5.0;52.0;437.14;0.18;87.0;11.0;Osnabrück
DE096C;172557.0;25.0;28.0;99.1;42.0;2.0;7.0;48.0;422.67;0.12;73.0;11.0;Ludwigshafen am Rhein
DE097C;163905.0;27.0;5.0;105.3;46.2;2.0;5.0;43.0;483.22;0.12;84.0;10.0;Leverkusen
DE098C;169605.0;40.0;103.0;108.5;41.9;2.0;5.0;49.0;457.22;0.12;90.0;10.0;Oldenburg (Oldenburg)
DE099C;153109.0;31.0;6.0;106.3;44.9;2.0;5.0;38.0;481.84;0.45;85.0;11.0;Neuss
DE100C;158741.0;50.0;224.0;108.1;36.5;2.0;4.0;56.0;309.16;0.06;80.0;10.0;Heidelberg
DE101C;151864.0;32.0;137.0;100.5;40.3;2.0;5.0;42.0;482.88;0.26;88.0;11.0;Paderborn
DE102C;126954.0;41.0;265.0;109.1;38.8;2.0;3.0;58.0;413.13;0.16;88.0;11.0;Würzburg
DE103C;110705.0;25.0;18.0;105.9;46.7;2.0;6.0;41.0;542.86;0.0;87.0;9.0;Recklinghausen
DE104C;123840.0;36.0;22.0;100.9;44.8;2.0;4.0;47.0;444.57;0.16;84.0;10.0;Wolfsburg
DE105C;113557.0;14.0;25.0;100.8;44.7;2.0;8.0;50.0;396.6;0.35;81.0;10.0;Bremerhaven
DE106C;117388.0;27.0;13.0;105.5;47.9;2.0;5.0;44.0;545.73;0.26;89.0;9.0;Bottrop
DE107C;126458.0;26.0;70.0;98.3;41.7;2.0;5.0;44.0;459.05;0.16;74.0;11.0;Heilbronn
DE108C;111516.0;20.0;0.0;102.2;47.1;2.0;5.0;43.0;495.55;0.0;81.0;9.0;Remscheid
DE109C;130892.0;31.0;6.0;101.2;39.7;2.0;8.0;49.0;364.84;0.23;63.0;12.0;Offenbach am Main
DE110C;126405.0;50.0;109.0;101.5;39.8;2.0;4.0;46.0;426.44;0.08;80.0;11.0;Ulm
DE111C;126016.0;28.0;46.0;103.0;42.1;2.0;6.0;47.0;426.79;0.32;73.0;12.0;Pforzheim
DE112C;136952.0;43.0;52.0;97.9;40.9;2.0;3.0;43.0;462.06;0.36;81.0;12.0;Ingolstadt
DE113C;92126.0;26.0;26.0;107.1;52.5;2.0;7.0;42.0;446.32;0.21;93.0;7.0;Gera
DE114C;103866.0;23.0;20.0;101.3;45.8;2.0;7.0;44.0;501.61;0.38;82.0;11.0;Salzgitter
DE115C;116031.0;35.0;47.0;102.5;44.0;2.0;4.0;43.0;501.62;0.0;81.0;10.0;Reutlingen
DE116C;128223.0;24.0;3.0;104.1;43.1;2.0;4.0;45.0;440.42;0.08;80.0;11.0;Fürth
DE117C;98693.0;33.0;59.0;104.1;48.9;2.0;5.0;46.0;435.89;0.3;91.0;9.0;Cottbus
